,Name,Area,Main_style,Main_instrument,Birth_decade
157,Charlie Christian,New-York-City,Swing_music,Guitar,1920s
158,Sonny Greer,NorthEast,Jazz,Drums,1900s
159,Dean Martin,West,,Singer,1920s
160,Cozy Cole,MidWest,Swing_music,Drums,1910s
161,Jimmy Rushing,New-York-City,Blues,Singer,1900s
162,Frank Butler (musician),West,Jazz,Drums,1930s
163,Slam Stewart,New-York-City,Jazz,Double Bass,1910s
164,Steve Potts (jazz musician),MidWest,,Saxophone,1940s
165,Tricky Sam Nanton,New-York-City,Swing_music,Trombone,1900s
166,Alan Dawson,NorthEast,Jazz,Drums,1930s
167,Erroll Garner,NorthEast,Jazz,Piano,1920s
168,Claude Thornhill,Chicago,Cool_jazz,Piano,1910s
169,Helen Humes,West,Blues,Singer,1910s
170,Chick Webb,South,Jazz,Drums,1900s
171,Hampton Hawes,West,Bebop,Piano,1930s
172,Jim Hall (musician),New-York-City,Post-bop,Guitar,1930s
173,Art Farmer,New-York-City,Jazz,Trumpet,1930s
174,Richie Powell,New-York-City,Jazz,Piano,1930s
175,Garnett Brown,South,Jazz,Trombone,1940s
176,Jerome Richardson,NorthEast,,Other,1920s
177,Dave Pell,New-York-City,Jazz,Saxophone,1920s
178,John Simmons (musician),South,Jazz,Double Bass,1920s
179,Hale Smith,,,composer,1920s
180,Steve Turre,MidWest,Session_musician,Trombone,1950s
181,Jon Hendricks,MidWest,Jazz,Other,1920s
182,Red Callender,South,Jazz,Double Bass,1920s
183,Norman Granz,West,Jazz,Other,1920s
184,Bob Wills,South,Western_swing,Other,1900s
185,Slim Gaillard,,Bebop,Piano,1920s
186,Larry Coryell,South,Jazz_fusion,Guitar,1940s
187,Art Mardigan,,,Other,1920s
188,Arthur Blythe,,Jazz,Saxophone,1940s
189,Curtis Counce,West,Hard_bop,Double Bass,1930s
190,Howard Rumsey,West,Jazz,Double Bass,1920s
191,Bill Berg (musician),,Jazz_fusion,Drums,
192,Frank Sinatra,NorthEast,,Singer,1920s
193,Sam Brown (guitarist),Chicago,,Guitar,1940s
194,Howard McGhee,New-York-City,Bebop,Trumpet,1920s
195,Vi Redd,,Bebop,Saxophone,1930s
196,Paul Horn (musician),New-York-City,New-age_music,Clarinet,1930s
197,Flip Phillips,New-York-City,Swing_music,Saxophone,1920s
198,Arthur Lee (musician),South,Psychedelic_rock,Singer,1940s
199,Sammy Davis Jr.,New-York-City,,Other,1920s
200,Jimmy Cleveland,West,Jazz,Trombone,1930s
201,Max Roach,South,Bebop,Drums,1920s
202,Elvin Jones,Chicago,Hard_bop,Drums,1930s
203,George Van Eps,West,Jazz,Guitar,1910s
204,Mercer Ellington,West,Swing_music,Trumpet,1920s
205,Charles Mingus,West,Bebop,Double Bass,1920s
206,Billy Higgins,West,Jazz,Drums,1940s
207,Jimmy Cheatham,South,,Trombone,1920s
208,Jimmie Lunceford,MidWest,Swing_music,Saxophone,1900s
209,Charles Lloyd (jazz musician),South,Post-bop,Saxophone,1940s
210,Tony Bennett,New-York-City,,Singer,1930s
211,Arnie Lawrence,,,Other,1940s
212,George Duvivier,New-York-City,,Other,1920s
213,Jay McShann,MidWest,Bebop,Other,1920s
214,Philly Joe Jones,NorthEast,Bebop,Drums,1920s
215,Shorty Rogers,NorthEast,Cool_jazz,Trumpet,1920s
216,Buddy Rich,New-York-City,Swing_music,Drums,1920s
217,Jimmy Blanton,West,Big_band,Double Bass,1920s
218,Albert Stinson,,,Other,1940s
219,George Benson,NorthEast,Rhythm_and_blues,Singer,1940s
220,Joe Newman (trumpeter),New-York-City,,Trumpet,1920s
221,Buddy Cole (musician),,,Piano,1920s
222,Johnny Hartman,New-York-City,Jazz,Singer,1920s
223,Buddy Collette,West,Cool_jazz,Saxophone,1920s
224,Elvis Presley,South,,Singer,1940s
225,Don Cherry (singer),South,Big_band,Singer,1920s
226,Herb Jeffries,Chicago,Popular_music,Other,1910s
227,Sid Catlett,Chicago,Bebop,Drums,1910s
228,Pony Poindexter,West,,Other,1930s
229,Chet Baker,South,Bebop,Other,1930s
230,Carson Smith,,,Other,1930s
231,Wyatt Ruther,,,Other,1920s
232,Anthony Williams,,,Other,
233,Kid Rena,New-Orleans,,Trumpet,1900s
234,Eddie Durham,New-York-City,Jazz,Guitar,1910s
235,Andy Gibson,MidWest,,Trumpet,1910s
236,Spencer Williams,,Popular_music,Piano,1890s
237,Chester Zardis,,,Other,1900s
238,Joe Robichaux,New-Orleans,,Piano,1900s
239,Bunk Johnson,New-Orleans,Jazz,Trumpet,1880s
240,Louis Nelson Delisle,New-Orleans,,Clarinet,1880s
241,Zutty Singleton,New-York-City,Jazz,Drums,1900s
242,Hilton Jefferson,New-York-City,Jazz,Saxophone,1900s
243,Luis Russell,New-York-City,,Piano,1900s
244,Billy Kyle,MidWest,Jazz,Piano,1910s
245,Paul Barbarin,New-Orleans,,Drums,1900s
246,Lawrence Lucie,New-York-City,,Guitar,1910s
247,Ella Johnson,New-York-City,,jazz,1920s
248,Thad Jones,Chicago,Bebop,Trumpet,1920s
249,Pops Foster,South,Jazz,Trumpet,1890s
250,Jelly Roll Morton,South,Swing_music,Piano,1890s
251,Carmen Mastren,New-York-City,Jazz,Guitar,1910s
252,Tommy Benford,New-York-City,Jazz,Drums,1900s
253,Allan Reuss,New-York-City,Jazz,Guitar,1920s
254,George Guesnon,,,Other,1910s
255,Chu Berry,MidWest,Swing_music,Other,1910s
256,Blue Lu Barker,New-Orleans,Blues,Singer,1910s
257,Freddie Keppard,Chicago,Jazz,cornet,1890s
258,Alphonse Picou,New-Orleans,,Other,1880s
259,Tyree Glenn,NorthEast,Swing_music,player,1910s
260,Milt Jackson,New-York-City,Hard_bop,Piano,1920s
261,George Lewis (trombonist),Chicago,Avant-garde_jazz,Trombone,1950s
262,Louis Barbarin,,,Drums,1900s
263,Jonah Jones,New-York-City,Swing_music,Trumpet,1910s
264,W. C. Clark,South,Rhythm_and_blues,Guitar,1940s
265,Lee Blair,,,Other,
266,Johnny Williams (drummer),West,Jazz,Drums,1900s
267,Harry White (trombonist),New-York-City,,Trombone,1900s
268,Buster Bailey,New-York-City,,Other,1900s
269,Hank Jones,South,Bebop,Piano,1920s
270,Fats Domino,South,Rock_and_roll,Piano,1930s
271,That 1 Guy,,Funk,Double Bass,2000s
272,Isidore Barbarin,,,cornet,1870s
273,Red Allen (bluegrass),South,Country_music,Singer,1930s
274,Johnny Dodds,Chicago,,Other,1890s
275,Lucien Barbarin,South,Jazz,Trombone,1960s
276,David Jones (jazz musician),South,Jazz,Saxophone,1890s
277,Charlie Johnson (bandleader),New-York-City,,Other,1890s
278,Buck Clayton,New-York-City,Swing_music,Trumpet,1910s
279,Harry Connick Jr.,,,Other,1970s
280,Cab Calloway,New-York-City,Swing_music,Singer,1910s
281,Herb Morand,New-Orleans,,Trumpet,1900s
282,J. Mayo Williams,Chicago,,Other,1890s
283,Charlie Shavers,New-York-City,Jazz,Trumpet,1920s
284,Bill Johnson (reed player),,,Saxophone,1910s
285,Les Paul,MidWest,Blues,Other,1920s
286,Kid Howard,New-Orleans,,Trumpet,1910s
287,Guy Kelly,Chicago,,Trumpet,1910s
288,Lee Collins (musician),Chicago,,Trumpet,1900s
289,Harry James,West,Swing_music,Trumpet,1920s
290,"http://dbpedia.org/resource/Joe_""King""_Oliver",,,Other,
291,Kid Ory,West,Jazz,Trombone,1890s
292,Sam Morgan (musician),New-Orleans,,player,1900s
293,Fletcher Henderson,New-York-City,Swing_music,Piano,1900s
294,Jim Robinson (trombonist),New-Orleans,,Other,1890s
295,Bill Doggett,NorthEast,Rhythm_and_blues,Piano,1920s
296,Chris Kelly (jazz),,Jazz,Trumpet,1890s
297,Black Benny,New-Orleans,Jazz,Drums,1890s
298,Fate Marable,South,Jazz,Piano,1890s
299,Don Albert,South,Jazz,Trumpet,1910s
300,Sidney Desvigne,West,,Other,1890s
301,Michael White (violinist),,,Other,1930s
302,Kaiser Marshall,New-York-City,Jazz,Drums,1900s
303,Papa Celestin,New-Orleans,Dixieland,Trumpet,1880s
304,Barney Bigard,West,Swing_music,Saxophone,1910s
305,Al Morgan (musician),,,Other,1910s
306,Tiny Bradshaw,MidWest,Rhythm_and_blues,Piano,1910s
307,Horace Henderson,South,Jazz,Piano,1900s
308,Wellman Braud,South,Jazz,Trombone,1890s
309,Wooden Joe Nicholas,New-Orleans,,Trumpet,1880s
310,Muhammad Ali (drummer),,,Other,1940s
311,James P. Johnson,NorthEast,Jazz,Piano,1890s
312,Don Redman,New-York-City,Jazz,Other,1900s
313,Cie Frazier,,,Other,1900s
314,John Kirby (musician),West,Jazz,Double Bass,1910s
315,Fats Waller,New-York-City,Swing_music,Piano,1900s
316,Jimmie Noone,South,Dixieland,Clarinet,1900s
317,Willie Humphrey,,Dixieland,Clarinet,1900s
318,Bernard Addison,New-York-City,Jazz,Guitar,1900s
319,Baby Dodds,Chicago,Dixieland,Drums,1900s
320,Lou Donaldson,South,Bebop,Saxophone,1930s
321,Lucky Millinder,New-York-City,Swing_music,Singer,1910s
322,Manuel Perez (musician),New-York-City,,Other,1870s
323,Eddie Lang,New-York-City,Chamber_jazz,Guitar,1900s
324,Albert Nicholas,South,Jazz,Clarinet,1900s
325,Connie Kay,,,Drums,1930s
326,Fred Guy,Chicago,Swing_music,player,1900s
327,Clarence Williams (musician),South,Jazz,Piano,1890s
328,Little Brother Montgomery,Chicago,Boogie-woogie,Piano,1910s
329,Bennie Moten,MidWest,Kansas_City_jazz,Piano,1890s
330,Sharkey Bonano,New-Orleans,Jazz,Trumpet,1900s
331,Tal Farlow,South,Jazz,Guitar,1920s
332,Jon B.,NorthEast,Soul_music,Singer,1970s
333,Lizzie Miles,New-Orleans,,Other,1900s
334,Charles Tolliver,South,Jazz,Trumpet,1940s
335,Ornette Coleman,South,Avant-garde_jazz,Saxophone,1930s
337,Gus Johnson (jazz musician),South,Swing_music,Drums,1910s
338,Joseph Jarman,,Jazz,Other,1940s
339,Louis Hayes,Chicago,Jazz,Drums,1940s
340,Fred Jackson (saxophonist),,Rhythm_and_blues,Saxophone,1910s
341,Eric Dixon,New-York-City,,Saxophone,1930s
342,Erskine Hawkins,New-York-City,Swing_music,Trumpet,1910s
343,Derrick Gardner,Chicago,Jazz,Trumpet,1960s
344,Elmo Hope,New-York-City,Jazz,Piano,1920s
345,Ted Dunbar,NorthEast,,Guitar,1940s
346,Duke Pearson,South,Hard_bop,Piano,1930s
347,Eddie Jones (jazz musician),New-York-City,,Other,1930s
348,Eddie Allen,,,Other,
349,Sheila Jordan,Chicago,Bebop,Singer,1930s
350,Phil Spitalny,,,Other,1890s
351,Barry Harris,,Bebop,Piano,1930s
352,Michael Brecker,New-York-City,Jazz_fusion,Saxophone,1950s
353,Marvin Stamm,South,,Other,1940s
354,Joe Chambers,NorthEast,Jazz,Piano,1940s
355,Sonny Fortune,NorthEast,Jazz_fusion,Saxophone,1940s
356,Wardell Gray,South,Swing_music,Saxophone,1920s
357,Sonny Stitt,West,Jazz,Saxophone,1920s
358,Benny Green (pianist),New-York-City,,Piano,1960s
359,Pepper Adams,Chicago,Hard_bop,Saxophone,1930s
360,Roland Alexander,,,Other,1940s
361,Charles Sullivan (musician),,,Trumpet,1940s
362,Rahsaan Roland Kirk,Chicago,Post-bop,Saxophone,1940s
363,Carlos McKinney,Chicago,R&B,Piano,1980s
364,Tom Brown (trombonist),New-Orleans,,Trombone,1890s
365,Jan Hammer,,Jazz_fusion,composer,1950s
366,Wendell Culley,NorthEast,,Other,1910s
367,Stan Levey,,Bebop,Drums,1930s
368,Mongo Santamaría,,Latin_jazz,Other,1920s
369,Frank Wess,MidWest,Jazz,Saxophone,1920s
370,J. C. Johnson,,,Other,1900s
371,Jamey Aebersold,Chicago,Jazz,Saxophone,1940s
372,Hank Crawford,South,Hard_bop,Saxophone,1930s
373,Ed Allen (musician),New-York-City,Jazz,Trumpet,1900s
374,Percy Heath,New-York-City,Bebop,Double Bass,1920s
375,Donald Byrd,South,Bebop,Trumpet,1930s
376,Dave Bartholomew,South,Swing_music,Other,1920s
377,Kiane Zawadi,,,Trombone,1930s
378,Bill Graham (musician),,,Other,1920s
379,Chuck Mangione,New-York-City,Smooth_jazz,player,1940s
380,Tommy Potter,NorthEast,Jazz,Double Bass,1920s
381,Mo Foster,,Jazz_fusion,Double Bass,
382,Don Ellis,West,Jazz_fusion,Trumpet,1930s
383,Terry Gibbs,,Jazz,vibraphone,1920s
384,Johnny Coles,NorthEast,,Other,1930s
385,Wayne Shorter,NorthEast,Hard_bop,Saxophone,1930s
386,Reggie Workman,,Hard_bop,"musician, composer",1940s
387,Archie Shepp,South,Avant-garde_jazz,Piano,1940s
388,Kenny Burrell,Chicago,Blues,Guitar,1930s
389,Freddie Waits,New-York-City,Bebop,Drums,1940s
390,Papa Jack Laine,New-Orleans,Blues,cornet,1870s
391,Will Davis (musician),,,Piano,1930s
392,Nancy Wilson (jazz singer),MidWest,Blues,Singer,1940s
393,Kenny Barron,,Jazz,Piano,1940s
394,Dee Dee Bridgewater,South,Jazz,Singer,1950s
395,Gildo Mahones,New-York-City,,Piano,1930s
396,Kenny G,,Smooth_jazz,Saxophone,1960s
397,Phineas Newborn Jr.,South,Jazz,Piano,1930s
398,Miles Davis,Chicago,Jazz,Other,1930s
399,Stephanie Mills,New-York-City,Rhythm_and_blues,Other,1960s
400,Danny Mixon,New-York-City,Mainstream_jazz,Piano,1950s
401,Ruth Brown,West,Rhythm_and_blues,Piano,1930s
402,Red Rodney,South,,Other,1930s
403,Henry Coker,West,Jazz,Trombone,1920s
404,Gene Ramey,South,,Other,1910s
405,Al Haig,New-York-City,Bebop,Piano,1920s
406,Al Hall (musician),New-York-City,,Other,1920s
407,Stanley Cowell,MidWest,Jazz,Piano,1940s
408,Earle Warren,MidWest,,Saxophone,1910s
409,Hannibal Lokumbe,South,Post_bop,Trumpet,1950s
410,Paul Bascomb,Chicago,,Saxophone,1910s
411,Ike Isaacs (bassist),MidWest,,Double Bass,1920s
412,Vincent Gardner,Chicago,,Trombone,1970s
413,Gene Perla,,,Other,1940s
414,Wayman Carver,South,,Other,1900s
415,Dick Griffin,,,Trombone,1940s
416,Makanda Ken McIntyre,,,Other,1930s
417,Julius Watkins,NorthEast,,Other,1920s
418,Baby Face Willette,,,Other,1930s
419,John Hicks (jazz pianist),South,Bebop,Piano,1940s
420,Cecil Bridgewater,Chicago,Hard_bop,Trumpet,1940s
421,Horace Silver,New-York-City,Hard_bop,Piano,1930s
422,O. C. Smith,South,Rhythm_and_blues,Singer,1930s
423,Mel Lewis,New-York-City,Jazz,Drums,1930s
424,Roland Hanna,Chicago,Jazz_fusion,Piano,1930s
425,Albert Ayler,New-York-City,Avant-garde_jazz,Saxophone,1940s
426,J. R. Monterose,New-York-City,Jazz,Saxophone,1930s
427,Don Rader,,,Other,
428,Oliver Nelson,MidWest,Bebop,Saxophone,1930s
429,Billy Mitchell (jazz musician),MidWest,,Other,1930s
430,Vernon Alley,West,,Other,1920s
431,J. C. Heard,MidWest,Swing_music,Other,1920s
432,Don Byas,South,Swing_music,Saxophone,1910s
433,Stanley Clarke,,Jazz_fusion,Piano,1950s
434,J. C. Higginbotham,New-York-City,Jazz,Trombone,1910s
435,George Russell (composer),NorthEast,Jazz,Piano,1920s
436,Junior Walker,Chicago,Rhythm_and_blues,Saxophone,1930s
437,Curtis Fuller,Chicago,Bebop,Trombone,1930s
438,Pharez Whitted,Chicago,Jazz_fusion,Trumpet,1960s
439,Fats Navarro,New-York-City,Bebop,Trumpet,1920s
440,Marlena Shaw,New-York-City,Blues,Piano,1940s
441,Betty Carter,Chicago,Post-bop,Singer,1930s
442,Norris Turney,MidWest,,Other,1920s
443,Snub Mosley,MidWest,,Trombone,1900s
444,Buddy Montgomery,Chicago,Jazz,vibraphone,1930s
445,George Wallington,South,Jazz,Piano,1920s
446,John Hammond (producer),New-York-City,,Other,1910s
447,Paul Gonsalves,NorthEast,Swing_music,Saxophone,1920s
448,Monk Montgomery,Chicago,Jazz,Double Bass,1920s
449,Mills Brothers,,Traditional_pop_music,jazz,
450,Terence Blanchard,,Hard_bop,Trumpet,1960s
451,Freddie Jackson,New-York-City,Soul_music,Piano,1960s
452,Regina Carter,,Classical_music,Other,1970s
453,Fulton McGrath,MidWest,,Piano,1910s
454,Helen Forrest,NorthEast,Swing_music,Singer,1920s
455,Jean Goldkette,,Dixieland,Piano,1890s
456,Doc West,MidWest,Jazz,Other,1920s
457,Babe Russin,,,player,1910s
458,Bing Crosby,West,,Other,1900s
459,Billy Butterfield,South,Swing_music,Trumpet,1920s
460,Bernie Glow,New-York-City,,player,1930s
461,Herbie Steward,West,Swing_music,Saxophone,1930s
462,Sam Donahue,West,,Saxophone,1920s
463,Carl Kress,West,Jazz,Guitar,1910s
464,Woody Shaw,South,Bebop,cornet,1940s
465,Hot Lips Page,New-York-City,Jazz,Trumpet,1910s
466,Diana Ross,Chicago,,Singer,1940s
467,Chummy MacGregor,Chicago,,Other,1900s
468,Lee Castle,New-York-City,,Trumpet,1920s
469,Georgie Auld,West,Jazz,Saxophone,1920s
470,Pete Briggs,South,Jazz,Other,1900s
471,Dick McDonough,New-York-City,Jazz,Guitar,1900s
472,Bob Chester,,Jazz,Saxophone,1910s
473,Bunny Berigan,New-York-City,Jazz,Trumpet,1910s
474,Muhal Richard Abrams,Chicago,Post-bop,Piano,1930s
475,Bix Beiderbecke,MidWest,Dixieland,cornet,1900s
476,Chauncey Morehouse,,,Drums,1900s
477,Hal Kemp,West,Swing_music,Saxophone,1900s
478,Yehudi Menuhin,New-York-City,,Other,1920s
479,B.B. King,South,Rhythm_and_blues,Singer,1920s
480,Irving Aaronson,,Jazz,Piano,1900s
481,Johnny Best,,,Other,1910s
482,Red Nichols,West,Jazz,cornet,1900s
483,Sterling Bose,South,,Trumpet,1910s
484,Dave Tough,Chicago,,Drums,1910s
485,Arthur Schutt,NorthEast,,Piano,1900s
486,Steve Brown (musician),,,Guitar,1940s
487,Nick Fatool,,,Other,1920s
488,Bobby Hackett,NorthEast,Swing_music,Trumpet,1920s
489,Mick Jagger,,,Singer,1940s
490,Barney Kessel,South,Rhythm_and_Blues,Guitar,1920s
491,Bob Brookmeyer,NorthEast,Mainstream_jazz,Trombone,1930s
492,Ben Pollack,Chicago,,Drums,1900s
493,Johnny Guarnieri,New-York-City,Swing_music,Other,1920s
494,Joe Venuti,,Jazz,Other,1900s
495,Hal Crook,,,Trombone,1950s
496,Manny Klein,New-York-City,Jazz,Trumpet,1910s
497,Buddy Morrow,South,Swing_music,Trombone,1920s
498,Natalie Cole,West,,Other,1950s
499,Tadd Dameron,New-York-City,Jazz,Piano,1920s
500,Teo Macero,New-York-City,Third_stream,Saxophone,1920s
